date,category,amount,payment_method,description
2025-04-21,Entertainment,79.07,Mobile Payment,Us among range middle.
2025-04-22,Food,27.44,Card,Many one happy board.
2025-04-22,Health,60.52,Card,Tell summer.
2025-04-22,Rent,812.69,Cash,Board specific senior everything.
2025-04-22,Shopping,90.39,Mobile Payment,Ready off choose star.
2025-04-22,Health,74.03,Bank Transfer,Address young pretty.
2025-04-23,Food,11.57,Mobile Payment,Feeling amount relate.
2025-04-23,Shopping,188.0,Card,Trade smile across.
2025-04-23,Rent,1024.69,Bank Transfer,Thing area president better.
2025-04-23,Shopping,44.8,Mobile Payment,Table like send left smile.
2025-04-23,Health,121.6,Mobile Payment,Figure send western instead.
2025-04-23,Other,97.32,Cash,Water recognize attention.
2025-04-24,Other,72.38,Bank Transfer,Claim will work start student.
2025-04-24,Transport,29.15,Cash,Dark picture interesting military.
2025-04-24,Transport,22.64,Card,Affect item cover.
2025-04-24,Entertainment,38.29,Bank Transfer,Miss vote professional expert.
2025-04-24,Rent,483.69,Bank Transfer,Design peace range member.
2025-04-24,Health,142.69,Cash,Middle behind think sure.
2025-04-25,Health,21.29,Mobile Payment,Address together.
2025-04-25,Food,28.4,Bank Transfer,Spend board stuff memory laugh.
2025-04-25,Food,12.52,Bank Transfer,Age art political.
2025-04-25,Transport,10.36,Bank Transfer,Turn her.
2025-04-25,Transport,46.75,Cash,Our star else million.
2025-04-25,Health,143.18,Cash,Become for control experience.
2025-04-25,Rent,1089.24,Bank Transfer,Near father fight hundred response.
2025-04-25,Rent,595.29,Mobile Payment,Civil boy.
2025-04-26,Other,26.76,Card,Stop describe.
2025-04-26,Other,19.65,Cash,Five stock Democrat.
2025-04-26,Entertainment,21.8,Cash,Approach year activity.
2025-04-27,Health,68.63,Card,Paper scientist such memory student.
2025-04-27,Health,25.19,Mobile Payment,Tough debate my various.
2025-04-27,Transport,29.54,Card,How entire decade approach.
2025-04-27,Transport,4.78,Card,Source compare central church.
2025-04-27,Other,20.24,Cash,Different window resource attorney.
2025-04-27,Transport,39.53,Card,Surface hear middle.
2025-04-27,Shopping,90.95,Mobile Payment,Cultural election more father.
2025-04-27,Transport,44.3,Mobile Payment,That better she cultural.
2025-04-28,Rent,534.12,Mobile Payment,Story talk significant.
2025-04-29,Shopping,73.17,Card,Dream defense population long adult.
2025-04-29,Shopping,137.51,Cash,Coach suffer.
2025-04-29,Other,28.42,Cash,Scene catch third onto rock.
2025-04-29,Shopping,133.63,Cash,High indicate show relationship choice.
2025-04-29,Food,15.17,Bank Transfer,Significant computer pattern.
2025-04-29,Transport,19.85,Cash,Study show generation bed again.
2025-04-29,Shopping,169.47,Card,Conference most small.
2025-04-29,Utilities,160.48,Bank Transfer,Public less us.
2025-04-30,Food,28.19,Cash,Believe quickly.
2025-04-30,Transport,42.21,Cash,Near rest.
2025-04-30,Rent,786.05,Mobile Payment,Despite attack difference.
2025-04-30,Transport,27.77,Mobile Payment,Cold three various spring table.
2025-04-30,Transport,2.26,Mobile Payment,Whom perhaps center.
2025-05-01,Other,48.73,Card,Most reach start air.
2025-05-01,Shopping,128.48,Cash,Near inside.
2025-05-03,Other,11.37,Mobile Payment,Ever someone plant.
2025-05-03,Health,21.35,Mobile Payment,Everything people interview what.
2025-05-03,Health,41.41,Mobile Payment,Color I part specific.
2025-05-03,Utilities,53.99,Bank Transfer,Simple water game strategy.
2025-05-03,Shopping,88.62,Card,Design live marriage write.
2025-05-04,Entertainment,75.57,Mobile Payment,Deal matter with seat serve.
2025-05-04,Food,29.96,Bank Transfer,Bed vote its clearly record.
2025-05-04,Entertainment,79.26,Card,Step nature chair while.
2025-05-04,Utilities,171.11,Mobile Payment,Bank face.
2025-05-04,Food,25.55,Card,Member beautiful business sell agent.
2025-05-05,teste 1111,200.0,Credit Card,description 1
